,Country,Cases
237,Singapore,57627.0
238,Singapore,57639.0
239,Singapore,57654.0
240,Singapore,57665.0
241,Singapore,57685.0
242,Singapore,57700.0
243,Singapore,57715.0
244,Singapore,57742.0
245,Singapore,57765.0
246,Singapore,57784.0
247,Singapore,57794.0
248,Singapore,57800.0
249,Singapore,57812.0
250,Singapore,57819.0
251,Singapore,57830.0
252,Singapore,57840.0
253,Singapore,57849.0
254,Singapore,57859.0
255,Singapore,57866.0
256,Singapore,57876.0
257,Singapore,57880.0
258,Singapore,57884.0
259,Singapore,57889.0
260,Singapore,57892.0
261,Singapore,57901.0
262,Singapore,57904.0
263,Singapore,57911.0
264,Singapore,57915.0
265,Singapore,57921.0
266,Singapore,57933.0
267,Singapore,57941.0
268,Singapore,57951.0
269,Singapore,57965.0
270,Singapore,57970.0
271,Singapore,57973.0
272,Singapore,57980.0
273,Singapore,57987.0
274,Singapore,57994.0
275,Singapore,58003.0
276,Singapore,58015.0
277,Singapore,58019.0
278,Singapore,58020.0
279,Singapore,58029.0
280,Singapore,58036.0
281,Singapore,58043.0
282,Singapore,58047.0
283,Singapore,58054.0
284,Singapore,58056.0
285,Singapore,58064.0
286,Singapore,58073.0
287,Singapore,58091.0
288,Singapore,58102.0
289,Singapore,58114.0
290,Singapore,58116.0
291,Singapore,58119.0
292,Singapore,58124.0
293,Singapore,58130.0
294,Singapore,58135.0
295,Singapore,58139.0
296,Singapore,58143.0
297,Singapore,58148.0
298,Singapore,58160.0
299,Singapore,58165.0
300,Singapore,58183.0
301,Singapore,58190.0
302,Singapore,58195.0
303,Singapore,58199.0
304,Singapore,58205.0
305,Singapore,58213.0
306,Singapore,58218.0
307,Singapore,58228.0
308,Singapore,58230.0
309,Singapore,58239.0
310,Singapore,58242.0
311,Singapore,58255.0
312,Singapore,58260.0
313,Singapore,58273.0
314,Singapore,58285.0
315,Singapore,58291.0
316,Singapore,58297.0
317,Singapore,58305.0
318,Singapore,58313.0
319,Singapore,58320.0
320,Singapore,58325.0
321,Singapore,58341.0
322,Singapore,58353.0
323,Singapore,58377.0
324,Singapore,58386.0
325,Singapore,58403.0
326,Singapore,58422.0
327,Singapore,58432.0
328,Singapore,58461.0
329,Singapore,58482.0
330,Singapore,58495.0
331,Singapore,58509.0
332,Singapore,58519.0
333,Singapore,58524.0
334,Singapore,58529.0
335,Singapore,58542.0
336,Singapore,58569.0
337,Singapore,58599.0
338,Singapore,58629.0
339,Singapore,58662.0
340,Singapore,58697.0
341,Singapore,58721.0
342,Singapore,58749.0
343,Singapore,58780.0
344,Singapore,58813.0
345,Singapore,58836.0
346,Singapore,58865.0
347,Singapore,58907.0
348,Singapore,58929.0
349,Singapore,58946.0
350,Singapore,58984.0
351,Singapore,59029.0
352,Singapore,59059.0
353,Singapore,59083.0
354,Singapore,59113.0
355,Singapore,59127.0
356,Singapore,59157.0
357,Singapore,59197.0
358,Singapore,59235.0
359,Singapore,59250.0
360,Singapore,59260.0
361,Singapore,59308.0
362,Singapore,59352.0
363,Singapore,59366.0
364,Singapore,59391.0
365,Singapore,59425.0
366,Singapore,59449.0
367,Singapore,59507.0
368,Singapore,59536.0
369,Singapore,59565.0
370,Singapore,59584.0
371,Singapore,59602.0
372,Singapore,59624.0
373,Singapore,59649.0
374,Singapore,59675.0
375,Singapore,59699.0
376,Singapore,59721.0
377,Singapore,59732.0
378,Singapore,59747.0
379,Singapore,59759.0
380,Singapore,59777.0
381,Singapore,59786.0
382,Singapore,59800.0
383,Singapore,59809.0
384,Singapore,59810.0
385,Singapore,59821.0
386,Singapore,59832.0
387,Singapore,59846.0
388,Singapore,59858.0
389,Singapore,59869.0
390,Singapore,59879.0
391,Singapore,59883.0
392,Singapore,59890.0
393,Singapore,59900.0
394,Singapore,59913.0
395,Singapore,59925.0
396,Singapore,59936.0
397,Singapore,59948.0
398,Singapore,59956.0
399,Singapore,59979.0
400,Singapore,59998.0
401,Singapore,60007.0
402,Singapore,60020.0
403,Singapore,60033.0
404,Singapore,60046.0
405,Singapore,60052.0
406,Singapore,60062.0
407,Singapore,60070.0
408,Singapore,60080.0
409,Singapore,60088.0
410,Singapore,60105.0
411,Singapore,60117.0
412,Singapore,60128.0
413,Singapore,60137.0
414,Singapore,60152.0
415,Singapore,60167.0
416,Singapore,60184.0
417,Singapore,60196.0
418,Singapore,60208.0
419,Singapore,60221.0
420,Singapore,60236.0
421,Singapore,60253.0
422,Singapore,60265.0
423,Singapore,60288.0
424,Singapore,60300.0
425,Singapore,60321.0
426,Singapore,60347.0
427,Singapore,60381.0
428,Singapore,60407.0
429,Singapore,60450.0
430,Singapore,60468.0
431,Singapore,60478.0
432,Singapore,60495.0
433,Singapore,60519.0
434,Singapore,60554.0
435,Singapore,60575.0
436,Singapore,60601.0
437,Singapore,60633.0
438,Singapore,60653.0
439,Singapore,60678.0
440,Singapore,60692.0
441,Singapore,60719.0
442,Singapore,60735.0
443,Singapore,60769.0
444,Singapore,60808.0
445,Singapore,60831.0
446,Singapore,60851.0
447,Singapore,60865.0
448,Singapore,60880.0
449,Singapore,60904.0
