,location,total_cases,total_deaths,total_vaccinations,total_tests
107,Albania,132534.0,2456.0,994081.0,792669.0
108,Albania,132535.0,2456.0,1000063.0,795576.0
109,Albania,132537.0,2456.0,1005663.0,797583.0
110,Albania,132544.0,2456.0,1011297.0,800563.0
111,Albania,132557.0,2456.0,1016554.0,802671.0
112,Albania,132565.0,2456.0,1021408.0,805741.0
113,Albania,132580.0,2456.0,1022802.0,808780.0
114,Albania,132587.0,2456.0,1029234.0,811438.0
115,Albania,132592.0,2456.0,1035667.0,813353.0
116,Albania,132608.0,2456.0,1052108.0,817404.0
117,Albania,132616.0,2456.0,1060042.0,821025.0
118,Albania,132629.0,2456.0,1067135.0,823456.0
119,Albania,132647.0,2456.0,1069365.0,825907.0
120,Albania,132686.0,2456.0,1082424.0,829433.0
121,Albania,132697.0,2456.0,1095453.0,831949.0
122,Albania,132828.0,2456.0,1138771.0,840090.0
123,Albania,132922.0,2456.0,1179769.0,852819.0
124,Albania,132952.0,2457.0,1190847.0,857412.0
125,Albania,132999.0,2457.0,1198933.0,861096.0
126,Albania,133036.0,2457.0,1203087.0,863664.0
127,Albania,133081.0,2457.0,1212761.0,867426.0
128,Albania,133121.0,2457.0,1221640.0,871897.0
129,Albania,133146.0,2457.0,1229405.0,875496.0
130,Albania,133211.0,2457.0,1238036.0,879097.0
131,Albania,133591.0,2458.0,1259952.0,890695.0
132,Albania,133912.0,2459.0,1280239.0,899277.0
133,Albania,134487.0,2460.0,1309995.0,913616.0
134,Albania,135140.0,2461.0,1321198.0,923803.0
135,Albania,135550.0,2463.0,1330754.0,925986.0
136,Albania,135947.0,2464.0,1340339.0,931121.0
137,Albania,136598.0,2468.0,1358228.0,945516.0
138,Albania,137597.0,2473.0,1373349.0,958216.0
139,Albania,138132.0,2475.0,1376763.0,962478.0
140,Albania,138790.0,2477.0,1386713.0,966507.0
141,Albania,139324.0,2478.0,1396390.0,971525.0
142,Albania,139721.0,2478.0,1405653.0,979250.0
143,Albania,140521.0,2480.0,1415907.0,985869.0
144,Albania,141365.0,2483.0,1427977.0,992053.0
145,Albania,143174.0,2487.0,1444764.0,1001576.0
146,Albania,144079.0,2490.0,1458048.0,1006108.0
147,Albania,144847.0,2492.0,1472316.0,1013364.0
148,Albania,145333.0,2495.0,1485250.0,1019088.0
149,Albania,146387.0,2498.0,1499898.0,1024725.0
150,Albania,150101.0,2512.0,1539232.0,1046958.0
151,Albania,150997.0,2515.0,1553626.0,1052502.0
152,Albania,151499.0,2519.0,1567313.0,1059234.0
153,Albania,152239.0,2523.0,1579402.0,1065046.0
154,Albania,153318.0,2528.0,1589575.0,1071354.0
155,Albania,154316.0,2531.0,1598196.0,1076611.0
156,Albania,155293.0,2535.0,1601552.0,1080945.0
157,Albania,156162.0,2539.0,1610157.0,1084444.0
158,Albania,157026.0,2543.0,1618111.0,1090057.0
159,Albania,157436.0,2548.0,1625636.0,1095537.0
160,Albania,158431.0,2553.0,1632986.0,1101260.0
161,Albania,159423.0,2557.0,1640239.0,1106366.0
162,Albania,161324.0,2569.0,1649884.0,1115157.0
163,Albania,162173.0,2574.0,1657595.0,1119238.0
164,Albania,162953.0,2580.0,1665590.0,1124413.0
165,Albania,163404.0,2587.0,1674093.0,1129957.0
166,Albania,164276.0,2594.0,1683644.0,1134962.0
167,Albania,165096.0,2601.0,1693555.0,1140112.0
168,Albania,167354.0,2629.0,1715133.0,1149051.0
169,Albania,167893.0,2640.0,1723996.0,1153676.0
170,Albania,168188.0,2653.0,1732549.0,1157613.0
171,Albania,168782.0,2668.0,1741373.0,1162448.0
172,Albania,169462.0,2685.0,1749106.0,1166587.0
173,Albania,170131.0,2698.0,1756040.0,1170866.0
174,Albania,171327.0,2710.0,1764714.0,1176525.0
175,Albania,171794.0,2713.0,1771542.0,1180032.0
176,Albania,172001.0,2718.0,1778093.0,1183840.0
177,Albania,172618.0,2725.0,1783984.0,1187796.0
178,Albania,173190.0,2734.0,1789592.0,1191296.0
179,Albania,173723.0,2746.0,1795351.0,1194540.0
180,Albania,174643.0,2759.0,1803799.0,1199936.0
181,Albania,174968.0,2768.0,1810433.0,1202978.0
182,Albania,175163.0,2777.0,1816580.0,1206052.0
183,Albania,177536.0,2810.0,1842661.0,1219427.0
184,Albania,177971.0,2820.0,1848634.0,1223140.0
185,Albania,178188.0,2829.0,1854615.0,1227074.0
186,Albania,178804.0,2841.0,1860335.0,1230751.0
187,Albania,179463.0,2849.0,1865942.0,1233931.0
188,Albania,180623.0,2863.0,1873903.0,1240860.0
189,Albania,181252.0,2870.0,1879391.0,1243500.0
190,Albania,181960.0,2880.0,1891041.0,1251109.0
191,Albania,182610.0,2888.0,1896652.0,1254773.0
192,Albania,183282.0,2893.0,1901824.0,1258746.0
193,Albania,184887.0,2916.0,1909861.0,1265806.0
194,Albania,185497.0,2931.0,1926604.0,1273211.0
195,Albania,187363.0,2944.0,1944676.0,1283530.0
196,Albania,187994.0,2948.0,1947148.0,1286189.0
197,Albania,189125.0,2955.0,1963359.0,1291543.0
198,Albania,189355.0,2966.0,1971973.0,1295139.0
199,Albania,190125.0,2970.0,1980231.0,1298369.0
200,Albania,192013.0,2983.0,2000104.0,1307219.0
201,Albania,193075.0,2990.0,2016954.0,1313468.0
202,Albania,193269.0,2997.0,2025561.0,1316686.0
203,Albania,193856.0,3004.0,2033766.0,1319650.0
204,Albania,195523.0,3029.0,2050342.0,1327891.0
