location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,smokers
Afghanistan,115156.7562097516,192.88929889298893,193.61590268767378,4947.900849858357,7.456090651558074,7.490503795066414,2799.9074848206074,4.689897601476015,4.707537534754402,120.30265911237016,0.1812776203966006,0.18208444022770398,1.0485247524752475,,,,,,,,,924645.2,,23.058799999999998,,983.5539568345324,0.024683453237410072,0.13004028776978419,19.529496402877697,6040792.318681318,5589597.574712643,5439303.75,,10708.42857142857,17965.492917847027,14.687252747252748,13.59022988505747,13.225,,436.79320113314446,16549.065155807366,0.04028895184135977,28.96634357005758,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,,
Africa,6755304.029170465,11388.509107468124,11438.162464775847,156240.395716946,235.06102003642988,236.11867886550777,4734.794045578851,7.982207650273224,8.017017383348582,109.50893668528865,0.16475865209471766,0.16551967063129003,,,,,,,,,,,,,,,,,,335234601.993395,212922661.77807134,166488632.5068306,30779080.70967742,985588.2443857332,982951.0343461031,23.496433289299866,14.923632760898283,11.668934426229509,2.1570967741935485,688.9524438573316,637547.9682959049,0.044682959048877154,,,,,,,,,,,,,,,,1426736614.0,,,,,
Albania,165770.87232059645,311.5228331780056,312.94916479400746,2243.361344537815,3.357609710550887,3.3727260787992495,58322.4228667288,109.60169151910532,110.10350655430712,789.2717852474324,1.181283846872082,1.186612570356473,1.0285714285714285,,,,,,,,,559644.2569444445,2241.4861111111113,196.042425,0.7852125,1914.6745843230403,0.6707244655581948,0.1931510843373494,37.99192771084337,1365588.9710144927,838205.9417040359,745547.1502347417,201307.64556962025,8242.389534883721,4143.619047619048,48.04514492753623,29.490089686098653,26.230563380281687,7.0834177215189875,1457.8299319727892,1829.3238095238096,0.0643482993197279,44.2098078770413,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,9215.121315,23.3640625,28.390625,3234.24065790625,58.300000000000004
Algeria,162521.48710865562,249.91620626151013,251.0699056429232,4432.721495327103,6.430841121495327,6.459164319248827,3619.372021178637,5.5656629834254145,5.591353376503237,98.71725700934579,0.14321869158878506,0.1438450704225352,1.0034513274336283,20.137135922330096,0.44845024271844663,,,,,,,230553.0,,5.219,,,,,,10657044.857142856,5908922.444444444,5136519.130434782,355090.2727272727,56928.666666666664,26193.670668953688,23.73392857142857,13.15925925925926,11.437826086956521,0.7890909090909091,583.3241852487135,13457.036020583191,0.02998284734133791,54.41965417867435,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.400000000000002,83.741,1.9000000000000001,76.88,0.748,44903228.0,19133.29091545455,12.69090909090909,29.874545454545455,440.3350207,31.099999999999998
Andorra,21709.724074074074,44.31481481481482,44.51897488372093,116.41037735849056,0.15769593956562794,0.15727324478178367,271905.1647796296,555.024425,557.5809720930233,1457.9911188679243,1.9751076487252126,1.969100569259962,0.8726870078740158,,,,,,,,,181496.1447368421,,2296.4311710526317,,485.30518234165066,6.1404760076775435,0.12776173076923075,14.566346153846155,84557.0,41166.16981132075,37680.617021276594,37816.3,2401.0,225.02456647398844,105.90396551724139,51.558679245283024,47.19340425531915,47.3625,2818.316473988439,83.08815028901734,0.10408381502890172,35.405120772946866,163.755,,,,,,109.135,7.970000000000001,29.0,37.8,,,83.73,0.868,79843.0,98.04545313636363,28.218181818181815,22.69,1246.5913986363637,66.8
Angola,54241.86911487759,99.04331450094162,99.51035193945127,1127.6343779677113,1.838403041825095,1.8422941738299905,1524.1191177024482,2.782976459510358,2.7960917691579943,31.684845204178536,0.05158174904942966,0.05168385864374403,0.7706837606837607,,,,,,,,,1428346.1,5627.2,41.39683333333333,0.163,2177.8646616541355,0.06309022556390978,0.014990977443609022,113.33297872340425,10365181.840909092,6675868.823529412,3863357.337662338,831987.7857142857,,35551.077496274214,29.124545454545455,18.758352941176472,10.856103896103898,2.3389285714285712,998.9165424739195,22448.12965722802,0.06307004470938897,54.89947885939036,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,,
Anguilla,1418.1631878557876,3.7039848197343455,3.7202907530981886,8.5859375,0.025440313111545987,0.02402173913043478,89321.8611935484,233.29248671726754,234.31867397521447,540.7783359375,1.6023326810176126,1.5115079051383398,,,,,,,,,,41519.0,,2635.625,,169.0,10.728,0.047972072072072075,76.9159574468085,18520.462686567163,9271.492537313432,8962.181818181818,2421.964285714286,1421.0,33.828804347826086,116.65029850746268,58.39567164179105,56.448,15.254285714285714,2130.7758152173915,15.316576086956522,0.09649048913043477,,,,,,,,,,,,,,81.88,,15877.0,,,,,
Antigua and Barbuda,3836.1244153414405,8.536082474226804,8.575066854990583,73.69061302681992,0.13984674329501914,0.13932146294513956,40909.06045369504,91.03015557638237,91.44583050847457,785.8487136015326,1.4913342911877394,1.4852569778633302,0.6426844014510278,,,,,,,,,7826.583333333333,,83.95808333333333,,49.290780141843975,0.5288510638297872,0.07493843416370106,51.691796875,78766.18947368421,44326.14893617021,38786.0243902439,9838.0,841.2,240.263431542461,83.99778947368421,47.270212765957446,41.36182926829268,10.49,2562.150779896014,116.04506065857886,0.12369844020797226,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-40.731819395454544,-5.601818181818182,-4.338181818181819,-437.66646786363634,
Argentina,4999518.426320667,9315.525046382189,9357.48862721342,81970.7355679702,121.57315936626281,122.13281554307116,109854.59972659871,204.6903766233766,205.61246318732526,1801.1459338919926,2.671356011183597,2.6836441947565546,0.969852652259332,2934.584234930448,64.48173415765069,,,,,,,13807351.844827587,42142.51724137931,304.9543804597701,0.9307459770114943,41630.24118316268,0.9194550625711035,0.19635300925925925,10.26226851851852,68545345.11096774,30138595.74451613,22716943.677419353,13856832.967741935,147968.96511627908,147945.47932816538,150.61489032258064,66.22367741935484,49.91589677419355,30.44748387096774,3250.8023255813955,53580.219638242896,0.11771188630490956,53.45433488372093,16.177,31.900000000000002,11.198,7.441000000000001,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,5653.399916666666,0.965,10.4925,125.53059255833334,43.9
Armenia,254594.7428307123,412.8880666049954,414.8029758364312,5212.890151515152,8.266350710900474,8.29986761904762,91565.29641813136,148.49567900092507,149.18436802973977,1874.8220265151515,2.973036018957346,2.9850704761904763,0.8804710500490678,,,,,,,,,1187205.780167264,3706.4121863799282,425.3733082437276,1.3279988052568699,3683.7419738406657,1.3198941736028538,0.13606810035842293,42.257823960880195,951679.875,536917.6888888889,462700.46341463417,19846.928571428572,,5155.767386091127,34.22708333333333,19.310222222222222,16.639756097560976,0.7135714285714286,1854.242206235012,2709.390887290168,0.09739088729016787,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,12976.338295588235,28.558823529411764,32.188529411764705,4657.282792117647,53.6
