,location,total_cases,total_deaths,total_vaccinations,total_tests
0,Albania,0.0007319197113958544,0.0012234723519140523,0.0,2.996038755540932e-05
1,Albania,0.0007462146511950704,0.0012344228774397274,3.8784023890958715e-08,3.053581627366757e-05
2,Albania,0.0007506311650525111,0.0012403958913628228,5.696403508984561e-08,3.089472664169473e-05
3,Albania,0.0007583365722080459,0.0012453734029654023,8.059804964839858e-08,3.129574684425305e-05
4,Albania,0.0007666410277857334,0.001249355412247466,9.332405748761941e-08,3.167885951408549e-05
5,Albania,0.000774393419131241,0.0012543329238500454,1.1180706887315442e-07,3.2007598402732084e-05
6,Albania,0.0007819226355743778,0.001258314933132109,1.2271507559248655e-07,3.228120379668324e-05
7,Albania,0.0007887470891679231,0.0012632924447346888,1.354410834317074e-07,3.2535490761390726e-05
8,Albania,0.0007943147156796967,0.0012702609609783,1.4634909015103952e-07,3.280790231982683e-05
9,Albania,0.000797744561547709,0.0012742429702603637,1.5725709687037166e-07,3.3169417419886844e-05
10,Albania,0.0008046277453787203,0.0012802159841834593,1.663471024698151e-07,3.3504559608114205e-05
11,Albania,0.000916908213366154,0.0013727976999914388,1.6665010265646324e-07,3.7937922058535006e-05
12,Albania,0.0010015854697445839,0.0014524378856327115,3.414812103524256e-07,4.061634630181967e-05
13,Albania,0.0011015913181016308,0.0015589566339279136,5.154033174884436e-07,4.363121509934811e-05
14,Albania,0.0011109999021436784,0.0015738891687356524,9.238475690901025e-07,4.4058282622234986e-05
15,Albania,0.0011236269031988612,0.0015918082105049387,1.2656317796291763e-06,4.447590799150276e-05
16,Albania,0.0011628117176361535,0.001644569833492282,2.0385852557685175e-06,4.569644200989813e-05
17,Albania,0.0012009158957040724,0.001687376433274466,3.070906891678645e-06,4.6953876398758946e-05
18,Albania,0.0012468311953549645,0.0017660211165952228,4.331387668134803e-06,4.849121095065032e-05
19,Albania,0.0012669874128532841,0.0018068367117363752,4.785281947733679e-06,4.9198612758573224e-05
20,Albania,0.0013333408351423324,0.0019462070366086024,6.548743034025709e-06,5.15926870882712e-05
21,Albania,0.001348140854983756,0.0019760721062240796,7.161409411428197e-06,5.228912731555584e-05
22,Albania,0.0013854580478696306,0.0020497392779422565,1.0110813228260948e-05,5.398057517939114e-05
23,Albania,0.0014151050717424504,0.0021224109473399182,1.4613396001851936e-05,5.557716738502997e-05
24,Albania,0.0014228457170404646,0.0021263929566219817,1.5662079647841064e-05,5.5813112695006094e-05
25,Albania,0.001426886357378123,0.002134356975186109,1.6359586077505022e-05,5.608172568589428e-05
26,Albania,0.0014304454097685607,0.002145307500711784,1.7982455077192328e-05,5.638495990671916e-05
27,Albania,0.0014357076390455112,0.0021602400355195226,1.886115561847186e-05,5.6711853776842484e-05
28,Albania,0.0014412517734622983,0.0021731815656862294,1.9414736959477968e-05,5.7045042416045204e-05
29,Albania,0.0014465257487867422,0.0021811455842503566,2.3634014558552966e-05,5.7369874206642513e-05
30,Albania,0.0014573086203854935,0.002199064626019643,3.615428527103973e-05,5.787161071447123e-05
31,Albania,0.0014606562439210536,0.0022050376399427385,4.207036391534417e-05,5.81962254440658e-05
32,Albania,0.0014642270423589842,0.0022159881654684136,4.71053180168759e-05,5.8510855367534426e-05
33,Albania,0.00146932482697103,0.002223952184032541,5.226329019418676e-05,5.882179525395651e-05
34,Albania,0.0014734241975461544,0.002229925197955636,5.6205322622478735e-05,5.9148146471572986e-05
35,Albania,0.0014773708695038673,0.0022358982118787316,5.844328200106171e-05,5.947981568375654e-05
36,Albania,0.0014813762716990463,0.002244857732763375,6.263256258165855e-05,5.970686149262041e-05
37,Albania,0.0014854638962266775,0.002253817253648018,6.71412053589825e-05,5.996017168281557e-05
38,Albania,0.0014885648527648806,0.0022627767745326613,7.041088037310231e-05,6.0235622095290004e-05
39,Albania,0.0014902210454614208,0.0022717362954173042,7.34902712700071e-05,6.056381833142975e-05
40,Albania,0.0014932280336196783,0.0022797003139814315,7.595487478820287e-05,6.0885719798490096e-05
41,Albania,0.0014969515306750205,0.002285673327904527,7.78134779331024e-05,6.124842873406517e-05
42,Albania,0.0015045394773556232,0.002298614858071234,8.106194293415684e-05,6.175494058395413e-05
43,Albania,0.0015073350366590034,0.0023055833743148456,8.52085004884363e-05,6.206555487887211e-05
44,Albania,0.0015115518677090596,0.0023145428951994885,9.225992083211123e-05,6.263186703501536e-05
45,Albania,0.0015139832995401507,0.002319520406802068,9.533052472360323e-05,6.291968992464585e-05
46,Albania,0.0015159683815665003,0.002323502416084132,9.842658063077367e-05,6.323290895159668e-05
47,Albania,0.0015180709240677818,0.0023254934207251636,0.00010087027713609072,6.350206459499171e-05
48,Albania,0.0015198210851442677,0.0023284799276867114,0.000104818066567929,6.370469104104756e-05
49,Albania,0.0015214420396983282,0.002330470932327743,0.00010605006532684024,6.403115078916541e-05
50,Albania,0.0015226166444476477,0.0023354484439303226,0.00011273879444709737,6.431159360470281e-05
51,Albania,0.0015243550594766402,0.002341421457853418,0.00011604846548585473,6.458476487664849e-05
52,Albania,0.001525976014030701,0.0023463989694559977,0.00011857942604492643,6.491893029036353e-05
53,Albania,0.0015275499843947888,0.0023523719833790932,0.00012121946667119147,6.529412023359604e-05
54,Albania,0.0015310150684052807,0.0023603360019432205,0.0001238116332679661,6.570469112027483e-05
55,Albania,0.0015325185624844094,0.0023663090158663157,0.00012630714280519997,6.601280921366132e-05
56,Albania,0.0015333290397614397,0.0023673045181868317,0.0001313893649358488,6.625787108575244e-05
57,Albania,0.001534856025935555,0.002371286527468895,0.0001373342285978848,6.648350599809852e-05
58,Albania,0.0015363007897772178,0.002374273034430443,0.00014450169801304597,6.678825964594256e-05
59,Albania,0.0015376868233814144,0.0023772595413919908,0.00014969057620939493,6.710972699099744e-05
60,Albania,0.0015401300012599986,0.002384228057635602,0.00015680289959058615,6.746755205401091e-05
61,Albania,0.001540752541777138,0.002385223559956118,0.00016282836130227055,6.768407040424199e-05
62,Albania,0.0015411988915818792,0.0023872145645971498,0.00016864505588535443,6.799349086364491e-05
63,Albania,0.001541797940004032,0.0023902010715586976,0.00017338458480490424,6.829932981650265e-05
64,Albania,0.001542878576373406,0.0023911965738792136,0.0001774650883184944,6.859540102423718e-05
65,Albania,0.0015439474666952865,0.0023941830808407614,0.00018082020938524896,6.908552476841943e-05
66,Albania,0.0015447344518773303,0.002396174085481793,0.00018180011198886897,6.929737630709165e-05
67,Albania,0.0015457798501042246,0.002399160592443341,0.0001857266914076419,6.945409435106842e-05
68,Albania,0.0015464493748113366,0.0024001560947638566,0.0001886197371897581,6.977491051311509e-05
